name,year,designer,description,sector,participants,how_many,voluntarity,Intention,when,context,medium,input,var_mechanisms,focus,approach,results,results_context,integration
Rhizome 2001,2001,Surface,"A Participação é feita através do IP do computador que acede ao Website, influenciando o símbolo",,anyone,multiple people,involuntary,intended,anytime,anywhere,"computer, mobile device",data,unsure,symbol,reactivity,website/app content,public,system
Seed Media Group,2005,Sagmeister Inc.,A forma do símbolo reage aos retratos das pessoas,,staff,one person,unsure,emergent,unsure,entities location,unsure,image,colour variation,symbol,reactivity,printed materials,public,system
Casa da Música,2007,Stefan Sagmeister,Manipulação de Parâmetros (Cor) e Escolha do símbolo resultante,,staff,one person,voluntary,intended,unsure,entities location,unsure,parameters/options,"colour variation, shape transformation",symbol,parameter/option manipulation,printed materials,public,system
Get Up,2007,Alexis Rom Estudio,Carimbos de cabelos e caras podem ser conjugados entre si,,members/clients,one person,voluntary,intended,anytime,entities location,physical materials,object manipulation,"colour variation, combination, positioning",system,element conjugation,printed materials,public,system
Onedotzero,2009,"Wieden + Kennedy, Karsten Schmidt",Opiniões retiradas de redes sociais e blogs. Foi feita também uma instalação que permitia uma participação mais direta com a Identidade.,,anyone,multiple people,mixed,intended,anytime,anywhere,"computer, mobile device",data,content variation,logotype,reactivity,"installation, overall usage",public,system
Decode,2009,Karsten Schmidt,Manipulação de Parâmetros / Alteração do Código Fonte,,anyone,one person,voluntary,intended,unsure,anywhere,"computer, mobile device",parameters/options,"content variation, shape transformation",system,"element creation, parameter/option manipulation",overall usage,public,system
Design Academy Eindhoven,2010,The Stone Twins,Escrita de mensagens,,students,one person,voluntary,intended,unsure,entities location,physical materials,drawing/writing,unsure,logotype,element creation,overall usage,public,system
MIT Media Lab,2011,E Roon Kang & Richard The,Escolha e apropriação da versão/Animação customizada,,"staff, students",one person,voluntary,intended,unsure,entities location,unsure,unsure,unsure,symbol,unsure,printed materials,public,system
OCAD University,2011,Bruce Mau Design,Produção de grafismo para a marca gráfica,,students,one person,voluntary,intended,in specific moments,entities location,free,image,content variation,symbol,element creation,unsure,public,system
È Bologna,2013,Matteo Bartoli & Michele Pastore,Escrita de algo que representa Bolonha (Bolonha é _____),,anyone,one person,voluntary,intended,anytime,anywhere,"computer, mobile device","parameters/options, text","colour variation, combination, content variation","logotype, symbol","element conjugation, parameter/option manipulation, reactivity",overall usage,public,system
Art Not Vandalism,2018,Stephen Rossi,Produção de Graffitis,,unsure,unsure,voluntary,intended,unsure,workshops,physical materials,drawing/writing,content variation,system,element creation,printed materials,public,system
Lautre Soie,2019,Graphéine,Desenho,,"anyone, visitors",one person,voluntary,intended,"anytime, in specific moments","anywhere, workshops","Computer, Mobile Device, Physical Materials",drawing/writing,"colour variation, content variation",system,element creation,unsure,public,system
The Pulse,2019,Patrik Hubner,Opiniões retiradas do Twitter,,anyone,multiple people,involuntary,intended,unsure,anywhere,"computer, mobile device",data,"colour variation, scaling",system,reactivity,overall usage,public,system
Generaxion,2021,Heydays Studio,Manipulação de Parâmetros ,,staff,one person,voluntary,intended,anytime,entities location,unsure,parameters/options,shape transformation,symbol,parameter/option manipulation,printed materials,public,system
Rhizome 2023,2023,Mindy Seu and Laura Coombs,Distância da pessoa ao escritório da Rhizome (NY),,anyone,multiple people,involuntary,intended,anytime,anywhere,"computer, mobile device",data,unsure,symbol,reactivity,website/app content,public,system
Espoo Theatre,2024,Great Apes Studio,Manipulação de Parâmetros ,,"guest artists, staff",one person,voluntary,intended,in specific moments,unsure,unsure,parameters/options,"colour variation, shape transformation",symbol,parameter/option manipulation,overall usage,public,system
AVO Consulting,2020,Bleed,Fazer versões do logo através dos Avodings,,staff,one person,voluntary,intended,anytime,entities location,unsure,parameters/options,combination,logotype,element conjugation,unsure,public,system
ATMATA,2023,Preksha Shah,Desenho/Expressão Artística,,visitors,multiple people,voluntary,intended,design process,workshops,physical materials,drawing/writing,content variation,"logotype, system",element creation,overall usage,public,system
Bauhaus 100,2019,ken-tsai Lee,Utilização de formas numa grelha para criar novas expressões,,anyone,"multiple people, one person",voluntary,intended,anytime,"home, museums/galleries, street",physical materials,object manipulation,"colour variation, combination",system,element conjugation,unsure,"private, public",system
"NAE,",2020,Soluble Studio,Escolha de fonte e cor para o logotipo,,staff,one person,voluntary,intended,anytime,entities location,unsure,parameters/options,"colour variation, shape transformation",logotype,parameter/option manipulation,unsure,public,system
QOQA,2024,Base Design,Customização de uma mascote,,members/clients,one person,voluntary,intended,anytime,anywhere,"computer, mobile device",parameters/options,combination,system´s element,element conjugation,website/app content,public,system
Saveme,2021,SKINN,Expressão criativa (desenho/colagem/escrita),,anyone,one person,voluntary,intended,anytime,anywhere,"computer, mobile device",drawing/writing,content variation,system,element creation,product packaging,unsure,system
Outschool,2022,Geist,Manipulação de formas ,,members/clients,unsure,voluntary,intended,anytime,anywhere,unsure,parameters/options,shape transformation,system´s element,parameter/option manipulation,overall usage,public,system
Compound,2024,Design Studio,Escrita à mão do nome e modelo 3D da pessoa,,members/clients,one person,voluntary,intended,unsure,anywhere,unsure,drawing/writing,unsure,logotype,element creation,website/app content,individual,system
Storyline,2013,Work in Progress,Escrevendo num retângulo branco,,unsure,"multiple people, one person",voluntary,intended,unsure,unsure,physical materials,drawing/writing,content variation,system,element creation,overall usage,public,system
Festival UxU,2013,Bruce Mau Design,"Criação de uma versão livre do símbolo (p.e. ilustração, 3D, fotografia…)",,guest artists,one person,voluntary,intended,unsure,unsure,free,image,content variation,symbol,element creation,printed materials,public,system
tegn_3,2013,Neue,Clicks em traços para gerar elementos mais complexos,,staff,one person,voluntary,intended,anytime,entities location,mobile device,parameters/options,positioning,system,reactivity,printed materials,public,system
Google Doodles,1998,Dennis Hwang,Envio de sugestões por email ou em concursos organizados em volta de certos temas ou ocasiões,,anyone,one person,voluntary,emergent,in specific moments,anywhere,"computer, mobile device",image,content variation,logotype,element creation,website/app content,public,extension
Design Pasar,2019,Foreign Policy Design,Conjugando autocolantes de diversas formas,,anyone,"multiple people, one person",voluntary,intended,anytime,events,physical materials,object manipulation,"colour variation, combination, positioning, repetition",system,element conjugation,"merchandise, printed materials",public,system
Figment,2021,Foreign Policy Design,Colando Selos,,members/clients,"multiple people, one person",voluntary,intended,anytime,home,physical materials,object manipulation,content variation,system´s element,element conjugation,printed materials,private,system
Oi,2016,Wolff Olins,Voz,,unsure,one person,unsure,intended,unsure,unsure,computer,audio or video capture,"colour variation, shape transformation",symbol,reactivity,overall usage,public,system
Silvertown,2022,DNCO,Combinando diferentes formas através de carimbos,,unsure,"multiple people, one person",voluntary,intended,unsure,unsure,physical materials,object manipulation,"combination, repetition",system,element conjugation,printed materials,public,unsure
Crane,2022,Collins,Escrita do nome e escolha de cores,,anyone,one person,voluntary,intended,unsure,anywhere,unsure,"parameters/options, text","colour variation, shape transformation",system,parameter/option manipulation,printed materials,unsure,extension
World Design Capital Helsinki 2012,2012,Kokoro & Moi,Desenho interpretando as temáticas centrais do projeto,,anyone,one person,voluntary,intended,design process,workshops,physical materials,drawing/writing,content variation,system,element creation,overall usage,public,system
Vietnam Design Day,2024,"Xuan Phan, Ven Bui (Design) and Quang Do (Motion)",Movimento,,staff,"multiple people, one person",mixed,intended,unsure,unsure,computer,audio or video capture,shape transformation,system,reactivity,overall usage,public,system
Barbie Movie,2023,unsure,"Tirando uma foto, alterando a cor dos elementos e completando uma frase.",,anyone,one person,voluntary,intended,anytime,anywhere,"computer, mobile device","image, parameters/options, text","colour variation, content variation",system,parameter/option manipulation,social media content,public,extension
Creativity for Awareness,2024,Cylia Mélet,Pintando e combinando stencils,,staff,one person,voluntary,intended,in specific moments,workshops,physical materials,drawing/writing,"colour variation, combination, content variation, positioning, repetition",system,"element conjugation, element creation",printed materials,public,system
La Cascade,2024,Méline Renck,"Colando Autocolantes circulares numa base já feita, completando-a",,anyone,multiple people,voluntary,intended,anytime,street,physical materials,object manipulation,positioning,system´s element,element conjugation,printed materials,public,system
Lesley Moore,2004,Lesley Moore,Combinação das formas disponíveis para gerar novos Símbolos,,unsure,one person,voluntary,intended,anytime,anywhere,computer,object manipulation,"combination, positioning, repetition",symbol,element conjugation,overall usage,public,system
Making,2014,Garbett,Utilizam fio para representar o seu nome numa matriz alfabética,,visitors,one person,voluntary,unsure,in specific moments,events,physical materials,object manipulation,shape transformation,system,unsure,printed materials,public,system
Exploring the world of ASMR,2022,DNCO,Através da produção de sons (ASMR),,unsure,unsure,unsure,intended,unsure,unsure,unsure,audio or video capture,shape transformation,system,reactivity,overall usage,public,system
Nutella,2000,Alguém,Escolhem o conteúdo escrito no rótulo,,members/clients,one person,voluntary,intended,unsure,entities location,unsure,text,content variation,logotype,parameter/option manipulation,product packaging,private,extension
Foxtale,2000,Alguém,Escolhem o conteúdo escrito no rótulo,,anyone,one person,voluntary,intended,unsure,anywhere,"computer, mobile device",text,content variation,system´s element,parameter/option manipulation,product packaging,private,extension
Jones Soda,2000,Alguém,Enviam fotos para serem colocadas nos rótulos / Personalizam os rótulos com foto + texto atrás (My Jones),,anyone,one person,voluntary,intended,anytime,anywhere,"computer, mobile device",image,content variation,system,parameter/option manipulation,product packaging,private,system
Share a Coke,2011,Coca Cola Company,Personalizar o rótulo,,anyone,one person,voluntary,intended,unsure,anywhere,"computer, mobile device","parameters/options, text",content variation,"logotype, system",parameter/option manipulation,product packaging,private,extension
Get Well Soon Soup,2024,Heinz,Esolhem o conteúdo do rótulo,,unsure,one person,voluntary,intended,unsure,anywhere,unsure,text,content variation,system´s element,parameter/option manipulation,product packaging,private,extension